orderId,上映时间,影片名,导演,票房（万元）
40,2022,阿凡达：水之道（8.2）,詹姆斯·卡梅隆,169755
41,2018,侏罗纪世界2（6.7）,J·A·巴亚纳,169551
42,2019,烈火英雄（6.5）,陈国辉,169131
43,2015,寻龙诀（7.4）,乌尔善,168214
44,2017,西游伏妖篇（5.5）,徐克,165692
45,2015,港囧（5.7）,徐峥,161224
46,2020,姜子牙（7.0）,程腾 *,160017
47,2022,万里归途（7.4）,饶晓志,159314
48,2019,少年的你（8.3）,曾国祥,155552
49,2017,变形金刚5：最后的骑士（4.9）,迈克尔·贝,154562
50,2016,疯狂动物城（9.2）,拜伦·霍华德 *,153448
51,2023,熊出没·伴我“熊芯”（7.0）,林永长*,149515
52,2021,我和我的父辈（7.0）,吴京 *,147717
53,2016,魔兽（7.7）,邓肯·琼斯,147214
54,2015,复仇者联盟2：奥创纪元（7.5）,乔斯·韦登,146419
55,2015,夏洛特烦恼（7.7）,闫非 *,144768
56,2020,送你一朵小红花（7.5）,韩延,143246
57,2018,速度与激情：特别行动（6.3）,大卫·雷奇,143059
58,2017,芳华（7.6）,冯小刚,142241
59,2015,侏罗纪世界（7.7）,科林·特雷沃罗,142020
60,2019,蜘蛛侠：英雄远征（7.7）,乔·沃茨,141245
61,2018,头号玩家（8.6）,史蒂文·斯皮尔伯格,139532
62,2021,速度与激情9（5.6）,林诣彬,139233
63,2022,奇迹·笨小孩（7.4）,文牧野,137920
64,2018,后来的我们（5.9）,刘若英,136095
65,1998,泰坦尼克号（9.4）,詹姆斯·卡梅隆,136627
66,2018,一出好戏（7.1）,黄渤,135131
67,2023,坚如磐石（6.3）,张艺谋,134938
68,2019,误杀（7.7）,柯汶利,132985
69,2021,怒火·重案（7.5）,陈木胜,132925
70,2021,中国医生（6.9）,刘伟强,132872
71,2020,拆弹专家2（7.7）,邱礼涛,131382
72,2017,摔跤吧！爸爸（9.0）,涅提·蒂瓦里,129657
73,2019,扫毒2天地对决（6.0）,邱礼涛,129505
74,2018,无双（8.1）,庄文强,127309
75,2012,人再囧途之泰囧（7.5）,徐峥,126739
76,2013,西游降魔篇（7.1）,周星驰 *,124644
77,2016,美国队长3（7.9）,安东尼·罗素 *,124626
78,2018,碟中谍6：全面瓦解（8.1）,克里斯托弗·麦奎里,124193
79,2021,哥斯拉大战金刚（6.8）,亚当·温加德,123261
80,2017,寻梦环游记（9.1）,李·昂克里奇 *,122958
81,2016,西游记之孙悟空三打白骨精（5.6）,郑保瑞,120101
82,2021,悬崖之上（7.7）,张艺谋,119136
83,2023,人生路不熟（6.6）,易小星,118470
84,2016,湄公河行动（8.0）,林超贤,118417
85,2019,叶问4：完结篇（6.9）,叶伟信,118274
86,2017,加勒比海盗5：死无对证（7.2）,艾斯彭·山德伯格 *,117824
87,2016,长城（4.9）,张艺谋,117452
88,2014,心花路放（7.2）,宁浩,116981
89,2015,煎饼侠（5.8）,大鹏,115945
90,2017,功夫瑜伽（4.9）,唐季礼,115343
91,2017,金刚：骷髅岛（6.5）,乔丹·沃格特-罗伯茨,114973
92,2018,大黄蜂（7.0）,特拉维斯·奈特,114755
93,2016,极限特工：终极回归（5.6）,D·J·卡卢索,112797
94,2020,金刚川（6.5）,管虎 *,112686
95,2021,误杀2（6.0）,戴墨,112143
96,2016,澳门风云3（4.3）,王晶 *,111818
97,2017,生化危机6：终章（6.5）,保罗·安德森,111222
98,2019,攀登者（6.1）,李仁港,110430
99,2011,变形金刚3（7.2）,迈克尔·贝,108080
100,2022,侏罗纪世界3（6.4）,科林·特莱沃若,105963
101,2018,巨齿鲨（5.7）,乔·德特杜巴,104890
102,2016,乘风破浪（6.8）,韩寒,104913
103,2014,西游记之大闹天宫（4.3）,郑保瑞,104599
104,2017,神偷奶爸3（6.8）,凯尔·巴尔达 *,103780
105,2021,刺杀小说家（7.0）,路阳,103523
106,2023,前任4：英年早婚（6.0）,田羽生,100977
107,2016,盗墓笔记（4.8）,李仁港,100441
108,2018,狂暴巨兽（6.4）,布拉德·佩顿,100307
109,2016,功夫熊猫3（7.7）,吕寅荣,100200
110,2023,速度与激情10（6.4）,路易斯·莱特里尔,98356
111,2016,奇幻森林（7.8）,乔恩·费儒,97935
112,2015,澳门风云2（5.5）,王晶 *,97445
113,2022,熊出没·重返地球（6.7）,林汇达,96777
114,2015,西游记之大圣归来（8.3）,田晓鹏,95593
115,2019,比悲伤更悲伤的故事（4.8）,林孝谦,95387
116,2023,年会不能停！（8.2）,董润年,95276
117,2021,穿过寒冬拥抱你（6.0）,薛晓路,93680
118,2019,哥斯拉2：怪兽之王（6.3）,迈克尔·道赫蒂,93493
119,2023,无名（6.8）,程耳,93132
120,2021,扬名立万（7.6）,刘循子墨,92667
121,2023,深海（7.4）,田晓鹏,91927
122,2023,热烈（7.5）,大鹏,91298
123,2015,老炮儿（7.6）,管虎,90260
124,2018,超时空同居（6.8）,苏伦,89966
125,2019,阿丽塔：战斗天使（7.5）,罗伯特·罗德里格兹,89516
126,2016,绝地逃亡（5.7）,雷尼·哈林,88940
127,2014,智取威虎山（7.7）,徐克,88134
128,2012,十二生肖（6.7）,成龙,88110
129,2014,星际穿越（9.3）,克里斯托弗·诺兰,87681
130,2019,银河补习班（6.3）,邓超 *,87234
131,2015,碟中谍5：神秘国度（7.8）,克里斯托弗·麦奎里,86894
132,2023,志愿军：雄兵出击（7.1）,陈凯歌,86609
133,2020,温暖的抱抱（5.5）,常远,86429
134,2021,我的姐姐（7.3）,殷若昕,86018
135,2023,巨齿鲨2：深渊（5.4）,本·维特利,85132
136,2023,长空之王（6.8）,刘晓世,85102
137,2020,夺冠（7.3）,陈可辛,83671
138,2019,狮子王（7.4）,乔恩·费儒,82993
139,2018,蚁人2：黄蜂女现身（7.3）,佩顿·里德,82926
140,2015,星球大战7：原力觉醒（7.2）,J·J·艾布拉姆斯,82479
141,2013,唐人街探案（7.7）,陈思诚,82338
142,2016,从你的全世界路过（5.3）,张一白,81419
143,2023,铃芽之旅（7.5）,新海诚,80819
144,2016,X战警：天启（7.7）,布莱恩·辛格,80253
145,2018,无名之辈（8.1）,饶晓志,79450
146,2019,反贪风暴4（6.0）,林德禄,79426
147,2021,你的婚礼（5.2）,韩天,78923
148,2016,北京遇上西雅图2（6.4）,薛晓路,78678
149,2017,蜘蛛侠：英雄归来（7.4）,乔·沃茨,77413
150,2016,叶问3（6.6）,叶伟信,77028
151,2014,霍比特人3：五军之战（8.5）,彼得·杰克逊,76580
152,2021,人潮汹涌（7.1）,饶晓志,76247
153,2016,大闹天竺（3.7）,王宝强,75852
154,2013,钢铁侠3（7.8）,沙恩·布莱克,75540
155,2018,无问西东（7.6）,李芳芳,75387
156,2016,奇异博士（7.6）,斯科特·德瑞克森,75159
157,2019,神秘巨星（7.7）,阿德瓦·香登,74662
158,2015,天将雄师（6.0）,李仁港,74383
159,2017,雷神3：诸神黄昏（7.4）,塔伊加·维迪提,74302
160,2016,猩球崛起3：终极之战（6.9）,马特·里夫斯,73978
161,2017,金刚狼3：殊死一战（8.3）,詹姆斯·曼高德,73184
162,2018,西游记女儿国（4.4）,郑保瑞,72743
163,2015,终结者：创世纪（6.9）,阿兰·泰勒,72474
164,2014,X战警：逆转未来（8.2）,布莱恩·辛格,72441
165,2014,美国队长2（8.0）,安东尼·罗素 *,72090
166,2013,致我们终将逝去的青春（6.5）,赵薇,71902
167,2013,私人订制（5.8）,冯小刚,71858
168,2014,猩球崛起2：黎明之战（7.6）,马特·里夫斯,71293
169,2019,熊出没·原始时代（6.6）,丁亮 *,71447
170,2022,神探大战（7.0）,韦家辉,71210
171,2012,画皮2（6.0）,乌尔善,70316
172,2023,保你平安（7.9）,大鹏,70106
173,2019,使徒行者2：谍影行动（6.3）,文伟鸿,69941
174,2016,铁道飞虎（5.2）,丁晟,69884
175,2015,狼图腾（6.9）,让-雅克·阿诺,69856
176,2017,悟空传（5.1）,郭子健,69653
177,2014,爸爸去哪儿（5.9）,谢涤葵 *,69611
178,2013,环太平洋（7.7）,吉尔莫·德尔·托罗,69583
179,2017,正义联盟（6.4）,扎克·施奈德,69011
180,2023,一闪一闪亮星星（6.3）,陈小明*,68851
181,2017,银河护卫队2（8.0）,詹姆斯·古恩,68521
182,2015,九层妖塔（4.4）,陆川,68220
183,2018,明日战记（6.4）,吴炫辉,67918
184,2016,寒战2（7.1）,梁乐民,67820
185,2011,碟中谍4（8.3）,布拉德·伯德,67471
186,2010,唐山大地震（7.8）,冯小刚,67332
187,2015,蚁人（7.7）,佩顿·里德,67156
188,2023,三大队（7.8）,戴墨,67116
189,2018,摩天营救（6.3）,罗森·马歇尔·瑟伯,66972
190,2014,分手大师（5.1）,俞白眉 *,66644
191,2018,黑豹（6.5）,瑞恩·库格勒,66227
192,2023,莫斯科行动（6.6）,邱礼涛,66143
193,2022,灌篮高手（9.0）,井上雄彦,65986
194,2010,让子弹飞（8.9）,姜文,65928
195,2016,情圣（6.0）,宋晓飞,65845
196,2023,变形金刚：超能勇士崛起（6.2）,小斯蒂芬·卡普尔,65564
197,2015,恶棍天使（3.9）,俞白眉 *,64923
198,2018,来电狂响（5.8）,于淼,64017
199,2019,大侦探皮卡丘（6.5）,罗伯·莱特曼,63928
200,2016,惊天魔盗团2（6.8）,朱浩伟,63891
201,2014,后会无期（7.1）,韩寒,62975
202,2015,末日崩塌（7.0）,布拉德·佩顿,62917
203,2021,反贪风暴5：最终章（5.1）,林德禄,62893
204,2018,影（7.2）,张艺谋,62877
205,2019,新喜剧之王（5.7）,周星驰,62443
206,2017,新木乃伊（4.7）,艾里克斯·库兹曼,62233
207,2016,蝙蝠侠大战超人（6.8）,扎克·施奈德,61908
208,2023,学爸（7.0）,苏亮,61427
209,2011,功夫熊猫2（8.0）,吕寅荣,61340
210,2021,失控玩家（7.8）,肖恩·利维,61248
211,2011,金陵十三钗（8.2）,张艺谋,60923
212,2017,一条狗的使命（7.7）,拉斯·霍尔斯道姆,60824
213,2017,神奇女侠（7.1）,派蒂·杰金斯,60772
214,2022,狙击手（7.6）,张艺谋*,60749
215,2016,使徒行者（6.9）,文伟鸿,60625
216,2023,银河护卫队3（8.5）,詹姆斯·古恩,60606
217,2018,李茶的姑妈（4.7）,吴昱翰,60415
218,2013,狄仁杰之神都龙王（6.5）,徐克,60273
219,2009,2012（7.9）,罗兰·艾默里奇,60223
220,2021,熊出没·狂野大陆（6.6）,丁亮 *,59655
221,2014,银河护卫队（8.1）,詹姆斯·古恩,59636
222,2017,美女与野兽（7.2）,比尔·康顿,59180
223,2016,神奇动物在哪里（7.8）,大卫·叶茨,59169
224,2014,超凡蜘蛛侠2 （7.5）,马克·韦布,59055
225,2014,火星救援（8.5）,雷德利·斯科特,58585
226,2014,匆匆那年（5.6）,张一白,58454
227,2014,邪不压正（7.0）,姜文,58276
228,2021,白蛇2：青蛇劫起（7.3）,黄家康,58020
229,2016,你的名字。（8.4）,新海诚,57672
230,2016,追龙（7.2）,王晶 *,57465
231,2012,少年派的奇幻漂流（9.1）,李安,57105
232,2023,拯救嫌疑人（6.2）,张末,56947
233,2012,复仇者联盟（8.2）,乔斯·韦登,56792
234,2016,大鱼海棠（6.9）,梁旋 *,56520
235,2015,杀破狼2（7.4）,郑保瑞,56016
236,2011,龙门飞甲（6.8）,徐克,55596
237,2022,新神榜：杨戬（7.0）,赵霁,55550
238,2018,爱情公寓（3.2）,韦正,55472
239,2023,涉过愤怒的海（7.6）,曹保平,54913
240,2022,哥，你好（5.3）,张栾,54796
241,2015,战狼（6.9）,吴京,54389
242,2022,四海（5.6）,韩寒,54276
243,2015,007：幽灵党（6.4）,萨姆·门德斯,54162
244,2013,中国合伙人（7.6）,陈可辛,53922
245,2020,除暴（6.3）,刘浩良,53777
246,2016,英伦对决（7.0）,马丁·坎贝尔,53695
247,2013,警察故事2013（5.8）,丁晟,53591
248,2017,三生三世十里桃花（4.0）,赵小丁 *,53453
249,2015,哆啦A梦：伴我同行（8.0）,八木龙一 *,53008
250,2017,妖猫传（6.9）,陈凯歌,52998
251,2014,超能陆战队（8.7）,唐·霍尔 *,52726
252,2014,澳门风云（5.7）,王晶 *,52496
253,2017,熊出没之奇幻空间（6.4）,林永长 *,52277
254,2014,小时代3：刺金时代（4.6）,郭敬明,52241
255,2017,杀破狼·贪狼（7.1）,叶伟信,52157
256,2013,北京遇上西雅图（7.3）,薛晓路,51550
257,2014,一步之遥（6.5）,姜文,51419
258,2016,愤怒的小鸟（7.2）,费格尔·雷利 *,51393
259,2015,滚蛋吧！肿瘤君（7.4）,韩延,51064
260,2018,动物世界（7.2）,韩延,50898
261,2012,黑衣人3（7.7）,巴里·索南菲尔德,50415
262,2021,1921（6.7）,黄建新 / 郑大圣,50388
263,2016,独立日：卷土重来（5.7）,罗兰·艾默里奇,50300
264,2020,我在时间尽头等你（5.5）,姚婷婷,50182
265,2018,古墓丽影：源起之战（6.0）,罗阿尔·乌索格,49696
266,2010,盗梦空间（9.3）,克里斯托弗·诺兰,49589
267,2015,小时代4：灵魂尽头（4.8）,郭敬明,48816
268,2013,小时代（4.8）,郭敬明,48814
269,2019,千与千寻（9.4）,宫崎骏,48688
270,2015,左耳（5.6）,苏有朋,48520
271,2020,紧急救援（6.2）,林超贤,48507
272,2015,王牌特工：特工学院（8.4）,马修·沃恩,48444
273,2016,我不是潘金莲（6.7）,冯小刚,48370
274,2016,摆渡人（4.1）,张嘉佳,48396
275,2014,哥斯拉（6.5）,加里斯·爱德华斯,48127
276,2018,厉害了，我的国（-）,卫铁,48055
277,2010,非诚勿扰2（6.5）,冯小刚,47880
278,2016,星球大战外传：侠盗一号（7.3）,加里斯·爱德华斯,47765
279,2017,王牌特工2：黄金圈（6.9）,马修·沃恩,47385
280,2011,加勒比海盗4：惊涛怪浪（7.7）,罗伯·马歇尔,47367
281,2013,霍比特人2：史矛革之战（8.4）,彼得·杰克逊,46364
282,2022,李茂扮太子（4.6）,高可,46240
283,2023,金手指（6.5）,庄文强,46004
284,2017,缝纫机乐队（6.6）,大鹏,45671
285,2021,新神榜：哪吒重生（7.3）,赵霁,45648
286,2014,同桌的妳（5.9）,郭帆,45610
287,2020,信条（7.7）,克里斯托弗·诺兰,45507
288,2014,敢死队3 （6.8）,帕特里克·休斯,45456
289,2009,变形金刚2 （7.7）,迈克尔·贝,45119
290,2023,奥本海默（8.8）,克里斯托弗·诺兰,44990
291,2012,冰川时代4 （8.1）,麦克·特米尔 *,44913
292,2019,白蛇：缘起（7.8）,黄家康 *,44863
293,2016,冰川时代5：星际碰撞（7.0）,麦克·特米尔 *,44727
294,2016,谍影重重5（7.5）,保罗·格林格拉斯,44710
295,2015,灰姑娘（6.9）,肯尼思·布拉纳,44456
296,2018,晴雅集（5.1）,郭敬明,44271
297,2016,星际迷航3：超越星辰（7.4）,林诣彬,44097
298,2018,反贪风暴3（5.7）,林德禄,44068
299,2023,第八个嫌疑人（6.3）,李子俊,43905
300,2021,峰爆（6.5）,李骏,43814
301,2015,小黄人大眼萌（7.6）,凯尔·巴尔达 *,43550
302,2015,奔跑吧！兄弟（3.5）,胡笳 *,43408
303,2017,全球风暴（6.0）,迪安·德夫林,43379
304,2021,古董局中局（6.3）,郭子健,42995
305,2015,地心引力（7.9）,阿方索·卡隆,42981
306,2023,我爱你！（7.9）,韩延,42792
307,2018,蜘蛛侠：平行宇宙（8.6）,鲍勃·佩尔西凯蒂 *,42744
308,2016,血战钢锯岭（8.7）,梅尔·吉布森,42655
309,2023,海王2：失落的王国（6.5）,温子仁,42575
310,2011,建党伟业（-）,韩三平 *,42297
311,2009,建国大业（-）,韩三平 *,41595
312,2021,007：无暇赴死（6.9）,凯瑞·福永,41454
313,2013,速度与激情6（7.8）,林诣彬,41384
314,2019,最好的我们（5.3）,章笛沙,41271
315,2014,京城81号（4.8）,叶伟民,41193
316,2014,极品飞车（7.2）,斯科特·沃,41188
317,2015,百团大战（5.3）,宁海强 *,41138
318,2017,星际特工：千星之城（7.0）,吕克·贝松,40919
319,2015,钟馗伏魔：雪妖魔灵（4.3）,鲍德熹 *,40892
320,2014,驯龙高手2（8.0）,迪恩·德布洛斯,40873
321,2018,X战警：黑凤凰（5.8）,西蒙·金伯格,40842
322,2014,明日边缘（8.1）,道格·里曼,40678
323,2014,北京爱情故事（6.1）,陈思诚,40582
324,2021,扫黑·决战（6.5）,吕聿来,40547
325,2020,沐浴之王（6.2）,易小星,40471
326,2022,想见你（6.4）,黄天仁,40347
327,2017,建军大业（-）,刘伟强,40296
328,2019,诛仙（4.4）,程小东,40262
329,2017,嫌疑人X的献身（6.3）,苏有朋,40225
330,2015,道士下山（5.5）,陈凯歌,40061
331,2017,拆弹专家（6.3）,邱礼涛,39920
332,2018,神奇动物：格林德沃之罪（7.1）,大卫·叶茨,39877
333,2013,疯狂原始人（8.7）,柯克·德·米科 *,39489
334,2013,超人：钢铁之躯（7.1）,扎克·施奈德,39464
335,2023,交换人生（5.6）,苏伦,39345
336,2011,哈利·波特与死亡圣器(下) （8.9）,大卫·叶茨,39344
337,2016,忍者神龟2：破影而出（6.5）,戴夫·格林,39338
338,2014,白发魔女传之明月天国（3.8）,张之亮,39228
339,2012,地心历险记2：神秘岛（6.4）,布拉德·佩顿,38849
340,2016,爱宠大机密（7.7）,克里斯·雷纳德 *,38923
341,2016,爱丽丝梦游仙境2（6.9）,詹姆斯·博宾,38698
342,2021,盛夏未来（7.4）,陈正道,38673
343,2023,茶啊二中（7.8）,夏铭泽*,38424
344,2016,爵迹（3.9）,郭敬明,38287
345,2014,忍者神龟：变种时代（6.5）,乔纳森·里贝斯曼,38155
346,2019,“大”人物（6.5）,五百,37966
347,2015,栀子花开（4.4）,何炅,37889
348,2016,荒野猎人（8.0）,艾力·谢路·伊拿力图,37740
349,2019,何以为家（9.1）,娜丁·拉巴基,37692
350,2012,007：大破天幕杀机（7.1）,萨姆·门德斯,37678
351,2020,心灵奇旅（8.8）,彼特·道格特 *,37620
352,2018,快把我哥带走（6.9）,郑芬芬,37409
353,2012,一九四二（7.9）,冯小刚,37217
354,2016,火锅英雄（7.2）,杨庆,37054
355,2019,阿拉丁（7.5）,盖·里奇,36746
356,2016,大话西游3（4.0）,刘镇伟,36593
357,2023,潜行（5.7）,关智耀,36138
358,2015,重返20岁（7.1）,陈正道,36590
359,2015,我的少女时代（7.8）,陈玉珊,35929
360,2018,幕后玩家（5.7）,任鹏远,35748
361,2011,失恋33天（7.2）,滕华涛,35608
362,2018,悲伤逆流成河（5.9）,落落,35747
363,2023,蜘蛛侠：纵横宇宙（8.6）,乔伊姆·多斯·桑托斯*,35698
364,2019,终结者：黑暗命运（6.9）,蒂姆·米勒,35519
365,2018,超人总动员2（7.9）,布拉德·伯德,35417
366,2013,星际迷航：暗黑无界（8.0）,J·J·艾布拉姆斯,35390
367,2020,疯狂原始人2（7.9）,乔尔·克劳福德,35323
368,2015,何以笙箫默（3.8）,杨文军 *,35315
369,2013,一代宗师（8.1）,王家卫,35149
370,2023,碟中谍7（7.8）,克里斯托弗·麦奎里,34911
371,2013,侏罗纪公园（8.2）,史蒂文·斯皮尔伯格,34621
372,2019,沉睡魔咒2（6.1）,乔阿吉姆·罗恩尼,34529
373,2014,亲爱的（8.4）,陈可辛,34192
374,2013,雷神2：黑暗世界（7.4）,阿兰·泰勒,34101
375,2012,蝙蝠侠：黑暗骑士崛起（8.8）,克里斯托弗·诺兰,34018
376,2016,伦敦陷落（6.3）,巴巴克·纳加非,33981
377,2017,敦刻尔克（8.4）,克里斯托弗·诺兰,33960
378,2016,机械师2：复活（5.7）,丹尼斯·甘塞尔,33890
379,2013,特种部队2：全面反击（6.6）,朱浩伟,33803
380,2016,致青春·原来你还在这里（4.3）,周拓如,33660
381,2022,坏蛋联盟（7.3）,彼埃尔·佩里菲尔,33522
382,2020,如果声音不记得（4.1）,落落,33515
383,2012,敢死队2 （6.9）,西蒙·韦斯特,33406
384,2008,非诚勿扰（7.2）,冯小刚,32526
385,2016,我的特工爷爷（5.5）,洪金宝,32443
386,2013,神偷奶爸2（8.1）,皮埃尔·柯芬 *,32422
387,2015,万万没想到（5.6）,易小星,32232
388,2015,横冲直撞好莱坞（4.5）,蒂姆·肯德尔,32218
389,2014,博物馆奇妙夜3（7.2）,肖恩·利维,32212
390,2008,赤壁(上)（6.4）,吴宇森,32100
391,2013,风暴（6.5）,袁锦麟,31763
392,2017,空天猎（5.0）,李晨,31758
393,2012,霍比特人1：意外之旅（8.3）,彼得·杰克逊,31591
394,2014,机械战警（6.4）,何塞·帕迪里亚,31526
395,2018,黄金兄弟（5.0）,钱嘉乐,31514
396,2018,移动迷宫3：死亡解药（5.3）,韦斯·鲍尔,31510
397,2016,太空旅客（6.9）,莫滕·泰杜姆,31448
398,2019,罗小黑战记（8.2）,木头,31382
399,2022,绝望主夫（4.7）,张琦,31354
400,2012,超凡蜘蛛侠（7.5）,马克·韦布,31151
401,2012,超级战舰（6.6）,彼得·博格,31139
402,2017,异形：契约（7.4）,雷德利·斯科特,30996
403,2014,河边的错误（7.3）,魏书钧,30969
404,2014,窃听风云3（6.3）,麦兆辉 *,30917
405,2018,黑衣人：全球追缉（5.6）,F·加里·格雷,30739
406,2019,追龙Ⅱ（5.5）,王晶 *,30692
407,2016,泰山归来：险战丛林（6.1）,大卫·叶茨,30610
408,2017,机器之血（4.7）,张立嘉,30529
409,2015,烈日灼心（8.2）,曹保平,30465
410,2017,心理罪（4.9）,谢东燊,30387
411,2023,这么多年（6.4）,季竹青,30097
412,2017,奇门遁甲（4.4）,袁和平,29964
413,2013,天机·富春山居图（3.0）,孙健君,29909
414,2013,冰雪奇缘（8.4）,克里斯·巴克 *,29873
415,2017,记忆大师（7.1）,陈正道,29176
